Anno,Regione,PercVarUnitLavoroPesca,PercValAggPesca,ProdInMiglEur,Posizione
2005,Calabria,-2.57,0.14,21.2996,Sud
2005,Sicilia,3.74,0.52,23.9534,Isole
2005,Sardegna,5.58,0.33,27.9552,Isole
2006,Piemonte,14.17,0.0,38.0795,Nord-ovest
2006,Valle d'Aosta,0.0,0.01,241.5206,Nord-ovest
2006,Lombardia,10.04,0.01,83.4762,Nord-ovest
2006,Trentino-Alto Adige,17.74,0.01,59.6962,Nord-est
2006,Veneto,16.77,0.11,20.9117,Nord-est
2006,Friuli-Venezia Giulia,-0.35,0.2,30.3755,Nord-est
2006,Liguria,-5.14,0.17,27.7297,Nord-ovest
2006,Emilia-Romagna,-6.08,0.12,35.8085,Nord-est
2006,Toscana,-0.71,0.06,54.9113,Centro
2006,Umbria,16.67,0.02,55.8381,Centro
2006,Marche,0.17,0.38,36.5583,Centro
2006,Lazio,11.9,0.05,53.3955,Centro
2006,Abruzzo,-0.98,0.13,12.8274,Centro
2006,Molise,10.0,0.21,68.3264,Sud
2006,Campania,-4.44,0.12,30.9802,Sud
2006,Puglia,0.15,0.37,31.8578,Sud
2006,Basilicata,231.58,0.02,86.9494,Sud
2006,Calabria,7.06,0.14,20.1019,Sud
2006,Sicilia,7.7,0.48,21.409,Isole
2006,Sardegna,-0.93,0.35,21.4673,Isole
2007,Piemonte,2.92,0.0,35.62,Nord-ovest
2007,Valle d'Aosta,0.0,0.01,257.9651,Nord-ovest
2007,Lombardia,13.89,0.01,81.2041,Nord-ovest
2007,Trentino-Alto Adige,8.22,0.02,53.958,Nord-est
2007,Veneto,9.33,0.13,20.7911,Nord-est
2007,Friuli-Venezia Giulia,1.51,0.22,33.1418,Nord-est
2007,Liguria,6.38,0.15,25.8747,Nord-ovest
2007,Emilia-Romagna,5.93,0.07,42.3957,Nord-est
2007,Toscana,-0.51,0.06,56.5092,Centro
2007,Umbria,4.29,0.02,60.2484,Centro
2007,Marche,-4.48,0.32,37.9052,Centro
2007,Lazio,-2.33,0.06,57.5403,Centro
2007,Abruzzo,-1.45,0.15,11.8401,Centro
2007,Molise,-1.6,0.22,53.1727,Sud
2007,Campania,-1.68,0.11,39.9744,Sud
2007,Puglia,4.52,0.48,35.2869,Sud
2007,Basilicata,7.94,0.01,19.7479,Sud
2007,Calabria,-2.66,0.21,25.8001,Sud
2007,Sicilia,-1.23,0.52,19.1097,Isole
2007,Sardegna,-4.19,0.36,25.4871,Isole
2008,Piemonte,-7.09,0.01,46.7529,Nord-ovest
2008,Valle d'Aosta,-1.64,0.01,286.7208,Nord-ovest
2008,Lombardia,-24.04,0.01,78.814,Nord-ovest
2008,Trentino-Alto Adige,-32.91,0.02,66.4505,Nord-est
2008,Veneto,7.86,0.11,17.2561,Nord-est
2008,Friuli-Venezia Giulia,-13.2,0.22,31.1676,Nord-est
2008,Liguria,-4.96,0.14,28.6017,Nord-ovest
2008,Emilia-Romagna,-2.76,0.07,59.6104,Nord-est
2008,Toscana,-20.88,0.06,66.4219,Centro
2008,Umbria,-54.79,0.03,50.0175,Centro
2008,Marche,6.03,0.3,32.2652,Centro
2008,Lazio,-25.8,0.05,44.7548,Centro
2008,Abruzzo,2.89,0.13,6.0684,Centro
2008,Molise,-16.3,0.21,32.1141,Sud
2008,Campania,-7.02,0.1,55.8497,Sud
2008,Puglia,-0.75,0.46,35.1173,Sud
2008,Basilicata,-64.71,0.01,22.4378,Sud
2008,Calabria,-12.7,0.16,26.5647,Sud
2008,Sicilia,-1.56,0.46,16.2612,Isole
2008,Sardegna,3.85,0.33,27.9797,Isole
2009,Piemonte,-76.34,0.0,47.2379,Nord-ovest
2009,Valle d'Aosta,-1.64,0.01,40.0358,Nord-ovest
2009,Lombardia,-10.09,0.01,97.8172,Nord-ovest
2009,Trentino-Alto Adige,11.32,0.01,93.1295,Nord-est
2009,Veneto,9.47,0.1,15.3837,Nord-est
2009,Friuli-Venezia Giulia,-11.78,0.17,31.5013,Nord-est
2009,Liguria,-12.47,0.11,27.6521,Nord-ovest
2009,Emilia-Romagna,-51.47,0.05,56.5868,Nord-est
2009,Toscana,3.62,0.05,69.4411,Centro
2009,Umbria,-9.09,0.02,103.44,Centro
2009,Marche,13.88,0.24,27.563,Centro
2009,Lazio,5.63,0.03,45.8418,Centro
2009,Abruzzo,-1.22,0.07,4.3062,Centro
2009,Molise,-7.79,0.21,42.4943,Sud
2009,Campania,3.35,0.07,45.216,Sud
2009,Puglia,15.86,0.35,29.4288,Sud
2009,Basilicata,25.0,0.01,63.3382,Sud
2009,Calabria,8.86,0.1,22.4602,Sud
2009,Sicilia,9.85,0.31,12.8835,Isole
2009,Sardegna,7.86,0.25,23.7629,Isole
2010,Piemonte,-3.23,0.01,197.9233,Nord-ovest
2010,Valle d'Aosta,-1.64,0.01,40.0358,Nord-ovest
2010,Lombardia,-8.16,0.01,106.583,Nord-ovest
2010,Trentino-Alto Adige,-22.03,0.01,82.701,Nord-est
2010,Veneto,-8.48,0.11,13.6469,Nord-est
2010,Friuli-Venezia Giulia,-9.01,0.17,34.1203,Nord-est
2010,Liguria,-14.41,0.14,33.7696,Nord-ovest
2010,Emilia-Romagna,-7.63,0.06,116.0438,Nord-est
2010,Toscana,-3.12,0.05,73.5061,Centro
2010,Umbria,-13.33,0.03,113.0168,Centro
2010,Marche,-9.57,0.26,24.2761,Centro
2010,Lazio,-12.08,0.04,50.7767,Centro
2010,Abruzzo,-6.64,0.11,5.7345,Centro
2010,Molise,-16.2,0.25,51.8234,Sud
2010,Campania,-0.82,0.08,48.7858,Sud
2010,Puglia,-5.74,0.44,29.8685,Sud
2010,Basilicata,0.0,0.01,60.7387,Sud
2010,Calabria,-4.79,0.13,27.0846,Sud
2010,Sicilia,-4.8,0.36,14.1352,Isole
2010,Sardegna,-11.41,0.27,23.4795,Isole
2011,Piemonte,-3.33,0.0,202.281,Nord-ovest
2011,Valle d'Aosta,-1.64,0.01,40.0358,Nord-ovest
2011,Lombardia,-36.67,0.01,114.5955,Nord-ovest
2011,Trentino-Alto Adige,-34.78,0.01,104.5943,Nord-est
2011,Veneto,-2.48,0.1,14.1117,Nord-est
2011,Friuli-Venezia Giulia,-12.46,0.16,37.5311,Nord-est
2011,Liguria,11.2,0.14,39.1639,Nord-ovest
2011,Emilia-Romagna,-9.67,0.06,117.0091,Nord-est
2011,Toscana,-10.31,0.05,76.9646,Centro
2011,Umbria,-3.85,0.02,129.5519,Centro
2011,Marche,-4.37,0.27,25.392,Centro
2011,Lazio,0.87,0.04,56.682,Centro
2011,Abruzzo,4.46,0.1,5.8832,Centro
2011,Molise,-13.45,0.25,61.4712,Sud
2011,Campania,-4.49,0.09,47.4528,Sud
2011,Puglia,-0.87,0.44,31.3426,Sud
2011,Basilicata,-3.33,0.01,62.2134,Sud
2011,Calabria,0.89,0.14,28.1953,Sud
2011,Sicilia,5.17,0.39,14.6727,Isole
2011,Sardegna,-2.59,0.3,27.0115,Isole
2012,Piemonte,-17.24,0.0,165.3924,Nord-ovest
2012,Valle d'Aosta,-1.64,0.01,40.0358,Nord-ovest
2012,Lombardia,-19.3,0.01,142.7117,Nord-ovest
2012,Trentino-Alto Adige,63.33,0.01,126.3844,Nord-est
2012,Veneto,7.54,0.09,11.6159,Nord-est
2012,Friuli-Venezia Giulia,-11.39,0.15,35.57,Nord-est
2012,Liguria,-8.71,0.13,35.0618,Nord-ovest
2012,Emilia-Romagna,-2.14,0.05,123.9431,Nord-est
2012,Toscana,-7.04,0.05,76.4287,Centro
2012,Umbria,-24.0,0.02,107.8949,Centro
2012,Marche,-9.6,0.23,23.4839,Centro
2012,Lazio,-4.72,0.04,51.7673,Centro
2012,Abruzzo,-5.54,0.09,5.152,Centro
2012,Molise,8.74,0.24,65.0482,Sud
2012,Campania,-0.68,0.09,45.0624,Sud
2012,Puglia,-1.26,0.4,27.0511,Sud
2012,Basilicata,-17.24,0.01,48.3853,Sud
2012,Calabria,-12.13,0.13,27.9066,Sud
2012,Sicilia,-0.79,0.36,12.7831,Isole
2012,Sardegna,-0.17,0.31,27.4075,Isole
